System,Recall@1,Recall@3,Recall@5,MRR@5,NDCG@5
CogniSync_RRF,0.7796274621275457,0.8931066002296313,0.9539572395188889,0.8493891359841265,0.8738764853031128
Dense,0.803840751764037,0.9105814355304372,0.9645080203769968,0.8687283327202399,0.8913318444867999
Hybrid_Naive,0.7796274621275457,0.8931066002296313,0.9539572395188889,0.8493891359841265,0.8738764853031128
Lexical,0.7359239318240087,0.8419885407261256,0.9136641808514195,0.8034572896810799,0.8293207074520486
