mean_diff,ci_low,ci_high,boot_p,n,cohen_dz,encoder,dataset,budget,system
0.010337846550930525,0.006670956868344269,0.014054234576614647,0.0,1406,0.1468768926923327,minilm,arguana,0,alpha_fixed
-0.010861504459133316,-0.02045442647523599,-0.0008852642308242479,0.0283,1406,-0.058581006612294206,minilm,arguana,0,alpha_learned
0.0033322777681851884,0.0007608286720495358,0.005934950501026551,0.0116,1406,0.06625380446602906,minilm,arguana,0,alpha_learned_override
0.06946555431895778,0.0628970436178557,0.07640353177368683,0.0,1406,0.5363608495515391,minilm,arguana,0,alpha_oracle
-0.06395202652086042,-0.07631941586633857,-0.051444750709178574,0.0,1406,-0.27022184126731613,minilm,arguana,0,bm25
-0.0018902610643855443,-0.010614264206525755,0.006821493335570443,0.6676,1406,-0.011495398473808881,minilm,arguana,0,rrf
-0.0015585131984898113,-0.003517191545023386,0.000494891517667273,0.1259,1406,-0.041106893165112665,minilm,arguana,50,alpha_fixed
-0.002434386731510965,-0.0057555305598506155,0.0008487710383614408,0.1533,1406,-0.03820731746207268,minilm,arguana,50,alpha_learned
-0.0005876868175481641,-0.0018534604894236233,0.0006038713905464293,0.3486,1406,-0.024864078733012534,minilm,arguana,50,alpha_learned_override
-0.0029512816945064524,-0.006943387666356476,0.0010369445643992794,0.1472,1406,-0.03849378368101536,minilm,arguana,50,alpha_oracle
-0.004000801423071771,-0.009614411743543112,0.0013217440662743089,0.1491,1406,-0.03822823858017086,minilm,arguana,50,bm25
-0.004104595864777382,-0.0071180987844322455,-0.0010840485384124277,0.0074,1406,-0.07147375829874665,minilm,arguana,50,rrf
-0.0006373001710100046,-0.0012920244943407763,-0.0001629153399297939,0.0287,1406,-0.056825598587579594,minilm,arguana,100,alpha_fixed
-0.0030500194067221522,-0.005086159705727457,-0.001088588231964339,0.0031,1406,-0.0802479152704588,minilm,arguana,100,alpha_learned
-0.00025887550032706455,-0.0007595360547235926,9.989759961138351e-06,0.1444,1406,-0.03278951240218457,minilm,arguana,100,alpha_learned_override
0.00025660599496131204,-0.002191439842313891,0.002704641970421239,0.8385,1406,0.0053968118017832445,minilm,arguana,100,alpha_oracle
0.0018468209938638973,-0.0021259175194916686,0.0057324695480393964,0.3489,1406,0.024712850049150525,minilm,arguana,100,bm25
-0.0024123527087678166,-0.004261694163026637,-0.0005857061063545788,0.0085,1406,-0.06944591704561465,minilm,arguana,100,rrf
0.036621187746092174,0.027587942189511345,0.04605097762799342,0.0,648,0.30120714040674057,minilm,fiqa,0,alpha_fixed
-0.0016785846224979019,-0.020476687457004546,0.017288048791334158,0.8633,648,-0.006722835263302858,minilm,fiqa,0,alpha_learned
-0.0010129864551096269,-0.019904908699712464,0.017883245029024008,0.9147,648,-0.004072281459090672,minilm,fiqa,0,alpha_learned_override
0.11162803043642656,0.09760632139481759,0.1266784149404842,0.0,648,0.5871847966275264,minilm,fiqa,0,alpha_oracle
-0.12962939464503556,-0.15449504724645335,-0.10466623089655769,0.0,648,-0.39861836056717154,minilm,fiqa,0,bm25
0.006329330030377422,-0.012611456964546873,0.025112866056779506,0.5136,648,0.02553523111152099,minilm,fiqa,0,rrf
-0.0011732285543891363,-0.008011050200315527,0.00609387917339159,0.749,648,-0.012779031171856874,minilm,fiqa,50,alpha_fixed
-0.015927914448708228,-0.02579954208087726,-0.0057080337287993286,0.0018,648,-0.12283828414352611,minilm,fiqa,50,alpha_learned
-0.015687260284480444,-0.025560771132383617,-0.005494513143536721,0.0023,648,-0.12106322951399126,minilm,fiqa,50,alpha_learned_override
