dataset,n_docs,corpus_encode_s,bm25_build_s,embedding_mb,rss_after_build_gb,rss_delta_gb
scifact,5183,14.468,0.951,3.981,2.605,0.386
fiqa,57638,137.285,6.735,44.266,3.454,0.295
