attack,defense,target_fpr,asr,asr_undefended,ndcg_defended,ndcg_clean,n,utility_cost_ndcg
A2_imperative_free,D2_embed_probe,0.01,0.74,1.0,0.6351,0.6451,300,0.01
A2_imperative_free,D2_embed_probe,0.05,0.4867,1.0,0.6084,0.6451,300,0.0366
A2_imperative_free,D3_distilbert,0.001,0.1,1.0,0.6451,0.6451,300,0.0
A2_imperative_free,D3_distilbert,0.01,0.0233,1.0,0.6396,0.6451,300,0.0054
A2_imperative_free,D3_distilbert,0.05,0.0033,1.0,0.6322,0.6451,300,0.0129
A2_imperative_free,D4_guard_zeroshot,0.001,0.0,1.0,0.6451,0.6451,300,0.0
A2_imperative_free,D4_guard_zeroshot,0.01,0.0,1.0,0.6453,0.6451,300,-0.0002
A2_imperative_free,D4_guard_zeroshot,0.05,0.0,1.0,0.6281,0.6451,300,0.017
A2_imperative_free,D5_perplexity,0.001,1.0,1.0,0.6446,0.6451,300,0.0005
A2_imperative_free,D5_perplexity,0.01,0.22,1.0,0.6421,0.6451,300,0.003
A2_imperative_free,D5_perplexity,0.05,0.0,1.0,0.6016,0.6451,300,0.0435
A2_imperative_free,D6_ensemble,0.001,1.0,1.0,0.6451,0.6451,300,0.0
A2_imperative_free,D6_ensemble,0.01,1.0,1.0,0.6451,0.6451,300,0.0
A2_imperative_free,D6_ensemble,0.05,0.0733,1.0,0.6417,0.6451,300,0.0033
A3_semantic_camouflage,D0_none,0.001,1.0,1.0,0.6451,0.6451,300,0.0
A3_semantic_camouflage,D0_none,0.01,1.0,1.0,0.6451,0.6451,300,0.0
A3_semantic_camouflage,D0_none,0.05,1.0,1.0,0.6451,0.6451,300,0.0
A3_semantic_camouflage,D1_3feat_tiny,0.001,1.0,1.0,0.6451,0.6451,300,0.0
A3_semantic_camouflage,D1_3feat_tiny,0.01,1.0,1.0,0.6435,0.6451,300,0.0016
A3_semantic_camouflage,D1_3feat_tiny,0.05,1.0,1.0,0.6183,0.6451,300,0.0267
A3_semantic_camouflage,D1b_3feat_trained,0.001,1.0,1.0,0.6451,0.6451,300,0.0
A3_semantic_camouflage,D1b_3feat_trained,0.01,1.0,1.0,0.6386,0.6451,300,0.0065
A3_semantic_camouflage,D1b_3feat_trained,0.05,0.9,1.0,0.6036,0.6451,300,0.0415
A3_semantic_camouflage,D2_embed_probe,0.001,0.9933,1.0,0.6384,0.6451,300,0.0067
A3_semantic_camouflage,D2_embed_probe,0.01,0.9833,1.0,0.6351,0.6451,300,0.01
A3_semantic_camouflage,D2_embed_probe,0.05,0.95,1.0,0.6084,0.6451,300,0.0366
A3_semantic_camouflage,D3_distilbert,0.001,0.9967,1.0,0.6451,0.6451,300,0.0
A3_semantic_camouflage,D3_distilbert,0.01,0.9867,1.0,0.6396,0.6451,300,0.0054
A3_semantic_camouflage,D3_distilbert,0.05,0.96,1.0,0.6322,0.6451,300,0.0129
A3_semantic_camouflage,D4_guard_zeroshot,0.001,0.99,1.0,0.6451,0.6451,300,0.0
A3_semantic_camouflage,D4_guard_zeroshot,0.01,0.99,1.0,0.6453,0.6451,300,-0.0002
A3_semantic_camouflage,D4_guard_zeroshot,0.05,0.9633,1.0,0.6281,0.6451,300,0.017
A3_semantic_camouflage,D5_perplexity,0.001,1.0,1.0,0.6446,0.6451,300,0.0005
A3_semantic_camouflage,D5_perplexity,0.01,0.9967,1.0,0.6421,0.6451,300,0.003
A3_semantic_camouflage,D5_perplexity,0.05,0.95,1.0,0.6016,0.6451,300,0.0435
A3_semantic_camouflage,D6_ensemble,0.001,1.0,1.0,0.6451,0.6451,300,0.0
A3_semantic_camouflage,D6_ensemble,0.01,1.0,1.0,0.6451,0.6451,300,0.0
A3_semantic_camouflage,D6_ensemble,0.05,0.9933,1.0,0.6417,0.6451,300,0.0033
A4_length_matched,D0_none,0.001,1.0,1.0,0.6451,0.6451,300,0.0
A4_length_matched,D0_none,0.01,1.0,1.0,0.6451,0.6451,300,0.0
A4_length_matched,D0_none,0.05,1.0,1.0,0.6451,0.6451,300,0.0
A4_length_matched,D1_3feat_tiny,0.001,1.0,1.0,0.6451,0.6451,300,0.0
A4_length_matched,D1_3feat_tiny,0.01,1.0,1.0,0.6435,0.6451,300,0.0016
A4_length_matched,D1_3feat_tiny,0.05,0.9733,1.0,0.6183,0.6451,300,0.0267
A4_length_matched,D1b_3feat_trained,0.001,1.0,1.0,0.6451,0.6451,300,0.0
A4_length_matched,D1b_3feat_trained,0.01,1.0,1.0,0.6386,0.6451,300,0.0065
A4_length_matched,D1b_3feat_trained,0.05,0.9433,1.0,0.6036,0.6451,300,0.0415
A4_length_matched,D2_embed_probe,0.001,1.0,1.0,0.6384,0.6451,300,0.0067
A4_length_matched,D2_embed_probe,0.01,0.98,1.0,0.6351,0.6451,300,0.01
A4_length_matched,D2_embed_probe,0.05,0.9333,1.0,0.6084,0.6451,300,0.0366
A4_length_matched,D3_distilbert,0.001,0.9533,1.0,0.6451,0.6451,300,0.0
A4_length_matched,D3_distilbert,0.01,0.6767,1.0,0.6396,0.6451,300,0.0054
A4_length_matched,D3_distilbert,0.05,0.37,1.0,0.6322,0.6451,300,0.0129
A4_length_matched,D4_guard_zeroshot,0.001,0.0033,1.0,0.6451,0.6451,300,0.0
A4_length_matched,D4_guard_zeroshot,0.01,0.0,1.0,0.6453,0.6451,300,-0.0002
A4_length_matched,D4_guard_zeroshot,0.05,0.0,1.0,0.6281,0.6451,300,0.017
A4_length_matched,D5_perplexity,0.001,1.0,1.0,0.6446,0.6451,300,0.0005
A4_length_matched,D5_perplexity,0.01,0.66,1.0,0.6421,0.6451,300,0.003
A4_length_matched,D5_perplexity,0.05,0.0333,1.0,0.6016,0.6451,300,0.0435
A4_length_matched,D6_ensemble,0.001,1.0,1.0,0.6451,0.6451,300,0.0
A4_length_matched,D6_ensemble,0.01,1.0,1.0,0.6451,0.6451,300,0.0
A4_length_matched,D6_ensemble,0.05,0.8833,1.0,0.6417,0.6451,300,0.0033
A5_score_guided,D0_none,0.001,1.0,1.0,0.7072,0.7072,420,0.0
A5_score_guided,D0_none,0.01,1.0,1.0,0.7072,0.7072,420,0.0
A5_score_guided,D0_none,0.05,1.0,1.0,0.7072,0.7072,420,0.0
A5_score_guided,D1_3feat_tiny,0.001,1.0,1.0,0.7072,0.7072,60,0.0
A5_score_guided,D1_3feat_tiny,0.01,1.0,1.0,0.7072,0.7072,60,0.0
A5_score_guided,D1_3feat_tiny,0.05,0.8833,1.0,0.6525,0.7072,60,0.0547
A5_score_guided,D1b_3feat_trained,0.001,1.0,1.0,0.7072,0.7072,60,0.0
A5_score_guided,D1b_3feat_trained,0.01,1.0,1.0,0.6905,0.7072,60,0.0167
A5_score_guided,D1b_3feat_trained,0.05,1.0,1.0,0.6691,0.7072,60,0.038
A5_score_guided,D2_embed_probe,0.001,0.9833,1.0,0.7072,0.7072,60,0.0
A5_score_guided,D2_embed_probe,0.01,0.9833,1.0,0.6905,0.7072,60,0.0167
A5_score_guided,D2_embed_probe,0.05,0.9167,1.0,0.6637,0.7072,60,0.0435
A5_score_guided,D3_distilbert,0.001,0.9,1.0,0.7072,0.7072,60,0.0
A5_score_guided,D3_distilbert,0.01,0.6833,1.0,0.7072,0.7072,60,0.0
A5_score_guided,D3_distilbert,0.05,0.4333,1.0,0.71,0.7072,60,-0.0029
A5_score_guided,D4_guard_zeroshot,0.001,0.05,1.0,0.7072,0.7072,60,0.0
A5_score_guided,D4_guard_zeroshot,0.01,0.05,1.0,0.7024,0.7072,60,0.0048
A5_score_guided,D4_guard_zeroshot,0.05,0.05,1.0,0.6941,0.7072,60,0.0131
A5_score_guided,D5_perplexity,0.001,0.95,1.0,0.7072,0.7072,60,0.0
A5_score_guided,D5_perplexity,0.01,0.15,1.0,0.7024,0.7072,60,0.0048
A5_score_guided,D5_perplexity,0.05,0.0167,1.0,0.6525,0.7072,60,0.0547
A5_score_guided,D6_ensemble,0.001,1.0,1.0,0.7072,0.7072,60,0.0
A5_score_guided,D6_ensemble,0.01,1.0,1.0,0.7072,0.7072,60,0.0
A5_score_guided,D6_ensemble,0.05,0.8167,1.0,0.7072,0.7072,60,0.0
A6_split_payload,D0_none,0.001,1.0,1.0,0.6451,0.6451,300,0.0
A6_split_payload,D0_none,0.01,1.0,1.0,0.6451,0.6451,300,0.0
A6_split_payload,D0_none,0.05,1.0,1.0,0.6451,0.6451,300,0.0
A6_split_payload,D1_3feat_tiny,0.001,1.0,1.0,0.6451,0.6451,300,0.0
A6_split_payload,D1_3feat_tiny,0.01,1.0,1.0,0.6435,0.6451,300,0.0016
A6_split_payload,D1_3feat_tiny,0.05,0.9767,1.0,0.6183,0.6451,300,0.0267
A6_split_payload,D1b_3feat_trained,0.001,1.0,1.0,0.6451,0.6451,300,0.0
A6_split_payload,D1b_3feat_trained,0.01,1.0,1.0,0.6386,0.6451,300,0.0065
A6_split_payload,D1b_3feat_trained,0.05,0.9433,1.0,0.6036,0.6451,300,0.0415
A6_split_payload,D2_embed_probe,0.001,0.9933,1.0,0.6384,0.6451,300,0.0067
A6_split_payload,D2_embed_probe,0.01,0.9767,1.0,0.6351,0.6451,300,0.01
A6_split_payload,D2_embed_probe,0.05,0.9267,1.0,0.6084,0.6451,300,0.0366
A6_split_payload,D3_distilbert,0.001,0.9967,1.0,0.6451,0.6451,300,0.0
A6_split_payload,D3_distilbert,0.01,0.9267,1.0,0.6396,0.6451,300,0.0054
A6_split_payload,D3_distilbert,0.05,0.7933,1.0,0.6322,0.6451,300,0.0129
A6_split_payload,D4_guard_zeroshot,0.001,0.01,1.0,0.6451,0.6451,300,0.0
A6_split_payload,D4_guard_zeroshot,0.01,0.01,1.0,0.6453,0.6451,300,-0.0002
A6_split_payload,D4_guard_zeroshot,0.05,0.0067,1.0,0.6281,0.6451,300,0.017
A6_split_payload,D5_perplexity,0.001,1.0,1.0,0.6446,0.6451,300,0.0005
A6_split_payload,D5_perplexity,0.01,0.9,1.0,0.6437,0.6451,300,0.0013
A6_split_payload,D5_perplexity,0.05,0.32,1.0,0.6033,0.6451,300,0.0418
A6_split_payload,D6_ensemble,0.001,1.0,1.0,0.6451,0.6451,300,0.0
A6_split_payload,D6_ensemble,0.01,1.0,1.0,0.6451,0.6451,300,0.0
A6_split_payload,D6_ensemble,0.05,0.9867,1.0,0.6417,0.6451,300,0.0033
