System,Recall@1,Recall@3,Recall@5,MRR,NDCG@5
CogniSync,0.7633263890843913,0.877062864221165,0.9425180409710688,0.8338635361241707,0.8618616824137061
Dense,0.8032900725392491,0.9062301173953436,0.9614106209472332,0.8665399810440771,0.8908726050300081
Hybrid_Naive,0.7735855784840893,0.8890886142469713,0.9509919015042745,0.844263018120736,0.8716826240413872
Lexical,0.7261690267728949,0.8382665653181686,0.9115912652609255,0.795938552780984,0.8261351085902355
Vanilla_RAG,0.8032900725392491,0.9062301173953436,0.9614106209472332,0.8665399810440771,0.8908726050300081
