System,exact_match,semantic
CogniSync,0.8607566787428941,0.8212891808516499
Dense,0.9101307767076081,0.8461583484823446
Hybrid_Naive,0.8933978380607347,0.8212891808516499
Lexical,0.8607566787428941,0.7656317137663196
Vanilla_RAG,0.9101307767076081,0.8461583484823446
