System,Recall@1,Recall@3,Recall@5,MRR,NDCG@5
CogniSync,0.764500835240385,0.8738661491073066,0.9408055965933779,0.8329746144858684,0.8607722689872481
Dense,0.7975918040226723,0.9035138031922598,0.9602927686528974,0.8626739279472398,0.8877114163341421
Hybrid_Naive,0.7753695818004499,0.8858757471297664,0.9495722410513407,0.8439230227011577,0.8710446024027558
Lexical,0.731590915674517,0.8335814914593049,0.9090302521170689,0.7975300058901345,0.826675807876308
Vanilla_RAG,0.7975918040226723,0.9035138031922598,0.9602927686528974,0.8626739279472398,0.8877114163341421
