defense,target_fpr,qid,final_score,detector_calls,evaded
D1_3feat_tiny,0.01,217,0.470399026957573,17,True
D1_3feat_tiny,0.01,115,0.2617664414160504,73,True
D1_3feat_tiny,0.01,324,0.4642876974402186,33,True
D1_3feat_tiny,0.01,619,0.2848825748298688,49,True
D1_3feat_tiny,0.01,1199,0.43763468982437487,25,True
D1_3feat_tiny,0.01,1319,0.4598889597901805,25,True
D1_3feat_tiny,0.01,236,0.3440216202529841,41,True
D1_3feat_tiny,0.01,873,0.5678219535540827,25,True
D1_3feat_tiny,0.01,113,0.2950916958300801,41,True
D1_3feat_tiny,0.01,279,0.2890695768095158,57,True
D1_3feat_tiny,0.01,729,0.5290279258452703,33,True
D1_3feat_tiny,0.01,759,0.2803077937773895,41,True
D1_3feat_tiny,0.01,1163,0.29330795420362415,65,True
D1_3feat_tiny,0.01,72,0.4780003205265326,49,True
D1_3feat_tiny,0.01,1099,0.2918095772866218,41,True
D1_3feat_tiny,0.01,1274,0.28765987323915604,49,True
D1_3feat_tiny,0.01,1241,0.41174334769545945,25,True
D1_3feat_tiny,0.01,1107,0.47983539685442206,41,True
D1_3feat_tiny,0.01,985,0.3785371652185254,33,True
D1_3feat_tiny,0.01,70,0.27506017878176314,65,True
D1_3feat_tiny,0.01,1179,0.4341170411402512,33,True
D1_3feat_tiny,0.01,57,0.2580663493493646,41,True
D1_3feat_tiny,0.01,1086,0.29439099422485393,41,True
D1_3feat_tiny,0.01,832,0.28129756380871995,49,True
D1_3feat_tiny,0.01,507,0.26515337687450313,41,True
D1_3feat_tiny,0.01,118,0.26907296731212804,57,True
D1_3feat_tiny,0.01,514,0.395633338309384,33,True
D1_3feat_tiny,0.01,1104,0.26915196807082187,49,True
D1_3feat_tiny,0.01,452,0.4234165494425205,33,True
D1_3feat_tiny,0.05,238,0.4072691258640389,33,True
D1_3feat_tiny,0.05,775,0.21404401374155183,65,True
D1_3feat_tiny,0.05,1137,0.4401272977732138,17,True
D1_3feat_tiny,0.05,715,0.21350325805524464,49,True
D1_3feat_tiny,0.05,993,0.48139711484598624,25,True
D1_3feat_tiny,0.05,1352,0.4715420118482276,49,True
D1_3feat_tiny,0.05,1021,0.21272571336098886,49,True
D1_3feat_tiny,0.05,636,0.44948226350667303,33,True
D1_3feat_tiny,0.05,1337,0.45126941221479316,33,True
D1_3feat_tiny,0.05,936,0.4769754221564009,17,True
D1_3feat_tiny,0.05,1336,0.21779165881526033,49,True
D1_3feat_tiny,0.05,882,0.5074996596704279,33,False
D1_3feat_tiny,0.05,1146,0.5403024741763037,33,False
D1_3feat_tiny,0.05,421,0.36634896076651274,33,True
D1_3feat_tiny,0.05,784,0.23279538099883723,41,True
D1_3feat_tiny,0.05,216,0.2066289329712034,57,True
D1_3feat_tiny,0.05,1368,0.4733734911510862,41,True
D1_3feat_tiny,0.05,185,0.21896681037316923,49,True
D1_3feat_tiny,0.05,975,0.5177836868223542,9,False
D1_3feat_tiny,0.05,1014,0.4871380390182117,17,True
D1_3feat_tiny,0.05,808,0.5044450209991427,25,False
D1_3feat_tiny,0.05,770,0.23422588019637788,49,True
D1_3feat_tiny,0.05,598,0.20899678197032948,57,True
D1_3feat_tiny,0.05,660,0.4965173432616438,33,False
D1_3feat_tiny,0.05,350,0.24123141335347761,73,True
D1_3feat_tiny,0.05,693,0.4854500581204537,33,True
D1_3feat_tiny,0.05,132,0.46144344748837807,33,True
D1_3feat_tiny,0.05,127,0.45535662258607085,25,True
D1_3feat_tiny,0.05,410,0.21718512961215372,57,True
D1_3feat_tiny,0.05,232,0.21859971331496986,65,True
D1_3feat_tiny,0.05,219,0.3993272499989938,41,True
