,precision,recall,f1-score,support
0,0.875,0.9130434782608695,0.8936170212765957,69.0
1,0.8421052631578947,0.7804878048780488,0.810126582278481,41.0
accuracy,0.8636363636363636,0.8636363636363636,0.8636363636363636,0.8636363636363636
macro avg,0.8585526315789473,0.8467656415694591,0.8518718017775384,110.0
weighted avg,0.8627392344497608,0.8636363636363636,0.8624978576500257,110.0
